nitems;id;bytes;iterations;thrift-binary-size;thrift-binary-total;thrift-binary-serialize;thrift-binary-unserialize;thrift-compact-size;thrift-compact-total;thrift-compact-serialize;thrift-compact-unserialize;protobuf-size;protobuf-total;protobuf-serialize;protobuf-unserialize;capnproto-size;capnproto-total;capnproto-serialize;capnproto-unserialize;boost-size;boost-total;boost-serialize;boost-unserialize;msgpack-size;msgpack-total;msgpack-serialize;msgpack-unserialize;cereal-size;cereal-total;cereal-serialize;cereal-unserialize;avro-size;avro-total;avro-serialize;avro-unserialize;flatbuffers-size;flatbuffers-total;flatbuffers-serialize;flatbuffers-unserialize;bson-size;bson-total;bson-serialize;bson-unserialize
1;0;16;100000;37;0.00019;9.00E-05;8.00E-05;17;0.00017;8.00E-05;7.00E-05;22;9.00E-05;3.00E-05;4.00E-05;56;0.00029;0.00024;4.00E-05;94;0.00391;0.00185;0.00197;17;0.00035;2.00E-05;0.00032;40;0.00086;0.0004;0.00047;4096;0.00051;0.00028;0.00017;64;0.00048;0.00045;2.00E-05;53;0.0009;0.00045;0.00036
2;1;32;100000;57;0.00021;0.0001;0.0001;29;0.00022;9.00E-05;0.0001;42;0.00014;5.00E-05;7.00E-05;88;0.0003;0.00025;4.00E-05;118;0.00391;0.00188;0.00198;31;0.00043;4.00E-05;0.00036;64;0.00093;0.00042;0.00048;4096;0.00055;0.00028;0.00021;88;0.00051;0.00045;2.00E-05;76;0.00103;0.0006;0.00037
3;2;48;1000000;77;0.00026;0.00011;0.000126;41;0.000266;0.000115;0.000124;55;0.000188;6.80E-05;0.000109;120;0.00032;0.000263;4.40E-05;142;0.003973;0.001912;0.002013;43;0.000474;5.70E-05;0.000403;88;0.000926;0.000427;0.000496;4096;0.000628;0.000315;0.00026;120;0.000556;0.000513;2.20E-05;99;0.001176;0.000749;0.000376
4;3;64;200000;97;0.000305;0.00012;0.000145;52;0.000305;0.00013;0.000145;75;0.00025;8.50E-05;0.00015;152;0.00032;0.000265;4.00E-05;166;0.00401;0.001945;0.00203;55;0.000525;7.00E-05;0.000435;112;0.000965;0.000445;0.0005;4096;0.000695;0.00032;0.000295;144;0.000625;0.000565;3.50E-05;122;0.00128;0.000845;0.000385
5;4;80;200000;117;0.000375;0.00015;0.000175;63;0.000355;0.00015;0.00018;87;0.0003;0.000105;0.000175;184;0.00033;0.000275;4.00E-05;190;0.00412;0.002015;0.00204;67;0.00057;8.50E-05;0.00048;136;0.001065;0.00051;0.00057;4096;0.000795;0.000345;0.000335;176;0.00066;0.0006;3.50E-05;145;0.00149;0.001045;0.000345
6;5;96;200000;137;0.000425;0.000185;0.000195;75;0.000415;0.00018;0.000205;107;0.000355;0.000125;0.000205;216;0.000335;0.00028;4.00E-05;214;0.004105;0.001985;0.00205;79;0.00065;0.0001;0.00052;160;0.001125;0.00055;0.00056;4096;0.000815;0.000365;0.00038;200;0.00071;0.000635;3.50E-05;168;0.001615;0.001165;0.00034
7;6;112;200000;157;0.00047;0.000215;0.00023;87;0.00046;0.000195;0.00022;127;0.0004;0.000145;0.000235;248;0.000345;0.000295;4.00E-05;238;0.004135;0.00199;0.002095;93;0.000755;0.00011;0.000615;184;0.00113;0.00055;0.00057;4096;0.000945;0.000405;0.000415;232;0.00082;0.000825;3.50E-05;191;0.00172;0.00129;0.00034
8;7;128;200000;177;0.000495;0.000215;0.00024;99;0.000495;0.000215;0.00024;140;0.00047;0.000175;0.000265;280;0.000355;0.0003;4.00E-05;262;0.004165;0.00202;0.00209;105;0.00076;0.00013;0.000605;208;0.001215;0.00058;0.000595;4096;0.000945;0.000415;0.000455;256;0.000805;0.00077;3.50E-05;214;0.001855;0.001385;0.00036
9;8;144;200000;197;0.00053;0.00022;0.00028;111;0.000535;0.000235;0.000265;153;0.000495;0.000175;0.00029;312;0.00038;0.000315;4.00E-05;286;0.00422;0.002065;0.002105;117;0.00084;0.00014;0.00064;232;0.00124;0.000595;0.00065;4096;0.00098;0.00043;0.000495;288;0.00087;0.00081;5.00E-05;237;0.001975;0.001515;0.00034
10;9;160;200000;217;0.00054;0.00022;0.00028;123;0.00061;0.000285;0.000295;166;0.000545;0.000215;0.00032;344;0.00038;0.000345;4.00E-05;310;0.00426;0.00207;0.00212;129;0.00087;0.000155;0.00067;256;0.001285;0.000615;0.00063;4096;0.001055;0.000445;0.00054;312;0.00093;0.00088;4.50E-05;260;0.00226;0.001775;0.00034
